ID,Categoria,Cenário,Pré-condição,Passos,Resultado Esperado,Risco/Severidade,Observações
CALC-019,Relatórios,Inadimplência (>5 dias),Contratos vencidos com saldo aberto,"Abrir relatório de inadimplência","Lista só inclui atraso >5 dias com valor devido coerente",Média,"Valida regra de corte"
CALC-020,Relatórios,Filtro de período,Base com contratos em datas variadas,"Aplicar múltiplos intervalos e comparar resultados","Dados e KPIs mudam conforme intervalo sem inconsistência",Média,"Detecta erro de fronteira de datas"
CALC-021,UX Operacional,Compreensão do rateio no histórico,Contrato com pagamento parcial misto,"Registrar pagamento que divide juros/principal; ler histórico","Descrição informa claramente valores para cada parte",Média,"Reduz retrabalho de atendimento"
CALC-022,UX Operacional,Compreensão de prioridade/urgência,Contratos com dívidas em níveis diferentes,"Abrir detalhes de contratos distintos","Nível NORMAL/ALTA/URGENTE condiz com total devido e atraso",Baixa,"Apoia priorização da cobrança"
CALC-023,Robustez,Contrato sem vencimento explícito,Contrato criado sem vencimento,"Abrir detalhe e relatórios relacionados","Sistema usa data base alternativa sem quebrar cálculo",Média,"Cenário de dados incompletos"
CALC-024,Robustez,Contrato com principal já zerado e juros pagos parcialmente,Contrato manipulado por sequência de pagamentos,"Reabrir tela e validar cálculos","Principal restante=0; total devido refletindo apenas eventual juros pendente",Alta,"Cenário limítrofe comum em auditoria"
CALC-025,Exportação,Consistência em PDF,Relatórios com dados de juros e atraso,"Gerar PDFs (geral/diário/dossiê) e comparar com tela","Valores monetários e status batem com UI",Média,"Essencial para evidência externa"
CALC-026,Permissão,Restrição de acesso aos relatórios,Usuário não-admin,"Tentar acessar área de relatórios","Acesso negado conforme regra de perfil",Média,"Evita exposição indevida"
CALC-027,Busca/Fluxo,Criar cobrança via cliente e via empréstimo,Cliente existente,"Criar cobrança pelos dois caminhos e comparar resultado","Regras de validação e cálculo equivalentes",Média,"Detecta divergência entre fluxos"
CALC-028,Resiliência,Atualização após refresh/navegação,Contrato com mudanças recentes,"Registrar pagamento; atualizar página; voltar/avançar","Valores e status persistem corretamente",Alta,"Previne percepção de 'sumiu pagamento'"
CALC-029,Comunicação,Template WhatsApp com valor pendente,Contrato com juros atualizados,"Abrir template na tela do contrato","Valor pendente exibido deve refletir total devido atual",Média,"Importante para comunicação correta"
CALC-030,Auditoria,Rastreabilidade de eventos financeiros,Contrato com várias ações,"Executar nota, pagamento, mudança de status","Timeline ordenada e tipos corretos (NOTA/JUROS/PAGAMENTO/SISTEMA)",Média,"Base para compliance"
